"Journal Data Filtered By:  Selected Categories: PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"JOURNAL OF RADIOLOGICAL PROTECTION","J RADIOL PROT","IOP Publishing Ltd","0952-4746","1361-6498","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,956","1.7"," 287/443 ",
"Lancet Regional Health - Southeast Asia","LANCET REG HLTH-SE A","ELSEVIER","2772-3682","2772-3682","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,947","6.4"," 28/443 ",
"Population Health Metrics","POPUL HEALTH METR","BMC","1478-7954","1478-7954","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,932","3.3"," 113/443 ",
"WILDERNESS & ENVIRONMENTAL MEDICINE","WILD ENVIRON MED","SAGE PUBLICATIONS INC","1080-6032","1545-1534","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,901","1.6"," 301/443 ",
"Sexual Health","SEX HEALTH","CSIRO PUBLISHING","1448-5028","1449-8987","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","1,897","2"," 246/443 ",
"International Journal of Occupational Medicine and Environmental Health","INT J OCCUP MED ENV","NOFER INST OCCUPATIONAL MEDICINE, POLAND","1232-1087","1896-494X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,883","2"," 246/443 ",
"HIGH ALTITUDE MEDICINE & BIOLOGY","HIGH ALT MED BIOL","SAGE PUBLICATIONS INC","1527-0297","1557-8682","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,880","1.3"," 354/443 ",
"Sexual & Reproductive Healthcare","SEX REPROD HEALTHC","ELSEVIER IRELAND LTD","1877-5756","1877-5764","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,842","2"," 246/443 ",
"Journal of Public Health Research","J PUBLIC HEALTH RES","SAGE PUBLICATIONS INC","2279-9028","2279-9036","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,827","2.1"," 231/443 ",
"Critical Public Health","CRIT PUBLIC HEALTH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","0958-1596","1469-3682","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,816","2.6"," 173/443 ",
"International Journal of Circumpolar Health","INT J CIRCUMPOL HEAL","TAYLOR & FRANCIS LTD","1239-9736","2242-3982","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","1,794","1.7"," 287/443 ",
"Stigma and Health","STIGMA HEALTH","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","2376-6972","2376-6964","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,782","1.7"," 287/443 ",
"Environmental Health Insights","ENVIRON HEALTH INSIG","SAGE PUBLICATIONS LTD","1178-6302","1178-6302","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,778","3.4"," 101/443 ",
"Journal of Developmental Origins of Health and Disease","J DEV ORIG HLTH DIS","CAMBRIDGE UNIV PRESS","2040-1744","2040-1752","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,773","1.6"," 301/443 ",
"EUROPEAN JOURNAL OF CONTRACEPTION AND REPRODUCTIVE HEALTH CARE","EUR J CONTRACEP REPR","TAYLOR & FRANCIS LTD","1362-5187","1473-0782","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,772","2"," 246/443 ",
"HEALTH","HEALTH-LONDON","SAGE PUBLICATIONS LTD","1363-4593","1461-7196","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,768","2"," 246/443 ",
"Disaster Prevention and Management","DISASTER PREV MANAG","EMERALD GROUP PUBLISHING LTD","0965-3562","1758-6100","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,766","1.5"," 325/443 ",
"African Journal of Reproductive Health","AFR J REPROD HEALTH","WOMENS HEALTH & ACTION RESEARCH CENTRE","1118-4841","2141-3606","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,742","1"," 379/443 ",
"Frontiers in Reproductive Health","FRONT REPROD HEALTH","FRONTIERS MEDIA SA","N/A","2673-3153","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,727","3.1"," 128/443 ",
"Progress in Disaster Science","PROG DISASTER SCI","ELSEVIER","2590-0617","2590-0617","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,686","4"," 79/443 ",
"Annals of Work Exposures and Health","ANN WORK EXPOS HEAL","OXFORD UNIV PRESS","2398-7308","2398-7316","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,683","2.1"," 231/443 ",
"HEALTH EDUCATION JOURNAL","HEALTH EDUC J","SAGE PUBLICATIONS LTD","0017-8969","1748-8176","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,672","1.7"," 287/443 ",
"Global Health Research and Policy","GLOB HEALTH RES POL","KEAI PUBLISHING LTD","N/A","2397-0642","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,658","6"," 33/443 ",
"Journal of Tropical Medicine","J TROP MED-US","WILEY","1687-9686","1687-9694","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,652","2.6"," 173/443 ",
"Perspectives in Public Health","PERSPECT PUBLIC HEAL","SAGE PUBLICATIONS LTD","1757-9139","1757-9147","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,646","2.3"," 209/443 ",
"GESUNDHEITSWESEN","GESUNDHEITSWESEN","GEORG THIEME VERLAG KG","0941-3790","1439-4421","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,631","1.1"," 369/443 ",
"Journal of Agromedicine","J AGROMEDICINE","TAYLOR & FRANCIS INC","1059-924X","1545-0813","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,591","1.6"," 301/443 ",
"JOURNAL OF BEHAVIORAL HEALTH SERVICES & RESEARCH","J BEHAV HEALTH SER R","SPRINGER","1094-3412","1556-3308","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","1,581","1.6"," 301/443 ",
"MEDICAL ANTHROPOLOGY QUARTERLY","MED ANTHROPOL Q","WILEY","0745-5194","1548-1387","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,576","1.9"," 260/443 ",
"Noise & Health","NOISE HEALTH","WOLTERS KLUWER MEDKNOW PUBLICATIONS","1463-1741","1998-4030","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,571","1.5"," 325/443 ",
"Health Promotion Perspectives","HEALTH PROMOT PERSPE","TABRIZ UNIV MEDICAL SCIENCES & HEALTH SERVICES","2228-6497","2228-6497","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,566","4.4"," 60/443 ",
"JOURNAL OF PUBLIC HEALTH POLICY","J PUBLIC HEALTH POL","PALGRAVE MACMILLAN LTD","0197-5897","1745-655X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","1,565","2.1"," 231/443 ",
"JANAC-JOURNAL OF THE ASSOCIATION OF NURSES IN AIDS CARE","J ASSOC NURSE AIDS C","LIPPINCOTT WILLIAMS & WILKINS","1055-3290","1552-6917","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","1,548","1.4"," 341/443 ",
"Health Reports","HEALTH REP","STATISTICS CANADA","0840-6529","1209-1367","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","1,530","3.4"," 101/443 ",
"Frontiers in Health Services","FRONT HEALTH SERV","FRONTIERS MEDIA SA","N/A","2813-0146","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,527","2.6"," 173/443 ",
"SSM-Qualitative Research in Health","SSM-QUAL RES HEALTH","ELSEVIER","2667-3215","2667-3215","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,513","2.5"," 186/443 ",
"Journal of Occupational Medicine and Toxicology","J OCCUP MED TOXICOL","BMC","1745-6673","1745-6673","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,510","3.2"," 120/443 ",
"Journal of Climate Change and Health","J CLIM CHANGE HEALTH","ELSEVIER","N/A","2667-2782","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,508","4.5"," 58/443 ",
"Malawi Medical Journal","MALAWI MED J","Kamuzu Univ Health Sciences - KUHeS","1995-7262","1995-7270","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,487","0.9"," 390/443 ",
"International Journal of Injury Control and Safety Promotion","INT J INJ CONTROL SA","TAYLOR & FRANCIS LTD","1745-7300","1745-7319","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,474","2.7"," 160/443 ",
"Safety","SAFETY","MDPI","N/A","2313-576X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,467","2.4"," 193/443 ",
"Australian Journal of Primary Health","AUST J PRIM HEALTH","CSIRO PUBLISHING","1448-7527","1836-7399","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","1,463","1.4"," 341/443 ",
"JOURNAL OF PALLIATIVE CARE","J PALLIAT CARE","SAGE PUBLICATIONS INC","0825-8597","2369-5293","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,462","1.6"," 301/443 ",
"Sexual and Reproductive Health Matters","SEX REPROD HLTH MATT","TAYLOR & FRANCIS LTD","N/A","2641-0397","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,446","3.3"," 113/443 ",
"Environment & Health","ENVIRON HEALTH-WASH","AMER CHEMICAL SOC","2833-8278","2833-8278","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,443","8.8"," 18/443 ",
"Environmental Epidemiology","ENVIRON EPIDEMIOL","LIPPINCOTT WILLIAMS & WILKINS","N/A","2474-7882","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,419","4.2"," 71/443 ",
"SSM-Mental Health","SSM-MENT HEALTH","ELSEVIER","2666-5603","2666-5603","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,407","3.4"," 101/443 ",
"Indian Journal of Public Health","INDIAN J PUBLIC HLTH","WOLTERS KLUWER MEDKNOW PUBLICATIONS","0019-557X","2229-7693","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","1,400","0.9"," 390/443 ",
"JOURNAL OF MEDICAL SCREENING","J MED SCREEN","SAGE PUBLICATIONS LTD","0969-1413","1475-5793","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,358","2.3"," 209/443 ",
"Aerospace Medicine and Human Performance","AEROSP MED HUM PERF","AEROSPACE MEDICAL ASSOC","2375-6314","2375-6322","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,338","0.8"," 401/443 ",
"Health and Human Rights","HEALTH HUM RIGHTS","HARVARD UNIV PRESS","N/A","2150-4113","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,316","2.2"," 218/443 ",
"Journal of Hunger & Environmental Nutrition","J HUNGER ENVIRON NUT","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1932-0248","1932-0256","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,311","1"," 379/443 ",
"ANNALI DELL ISTITUTO SUPERIORE DI SANITA","ANN I SUPER SANITA","Istituto Superiore Sanita","0021-2571","2384-8553","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,301","2.1"," 231/443 ",
"Families Systems & Health","FAM SYST HEALTH","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1091-7527","1939-0602","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","1,299","1.2"," 363/443 ",
"Chronic Illness","CHRONIC ILLN","SAGE PUBLICATIONS LTD","1742-3953","1745-9206","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","1,266","1.4"," 341/443 ",
"Arhiv za Higijenu Rada i Toksikologiju-Archives of Industrial Hygiene and Toxicology","ARH HIG RADA TOKSIKO","Paradigm Publishing Services-De Gruyter Brill Sp Zoo","0004-1254","1848-6312","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,265","1.7"," 287/443 ",
"AIDS EDUCATION AND PREVENTION","AIDS EDUC PREV","GUILFORD PUBLICATIONS INC","0899-9546","1943-2755","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,257","1.5"," 325/443 ",
"Global Health Promotion","GLOB HEALTH PROMOT","SAGE PUBLICATIONS INC","1757-9759","1757-9767","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,257","1.5"," 325/443 ",
"Health Promotion and Chronic Disease Prevention in Canada-Research Policy and Practice","HEALTH PROMOT CHRON","PUBLIC HEALTH AGENCY CANADA","2368-738X","2368-738X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,250","2.7"," 160/443 ",
"Israel Journal of Health Policy Research","ISR J HEALTH POLICY","BMC","2045-4015","2045-4015","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,224","2.4"," 193/443 ",
"Social Work in Public Health","SOC WORK PUBLIC HLTH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1937-1918","1937-190X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,214","1"," 379/443 ",
"Injury Epidemiology","INJURY EPIDEMIOL","BMC","N/A","2197-1714","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","1,213","2.3"," 209/443 ",
"TROPICAL DOCTOR","TROP DOCT","SAGE PUBLICATIONS INC","0049-4755","1758-1133","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,180","0.6"," 417/443 ",
"Evolution Medicine and Public Health","EVOL MED PUBLIC HLTH","OXFORD UNIV PRESS","N/A","2050-6201","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","1,179","2.7"," 160/443 ",
"Public Health in Practice","PUBLIC HEALTH PRACT","ELSEVIER","2666-5352","2666-5352","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,154","2.2"," 218/443 ",
"Progress in Community Health Partnerships-Research Education and Action","PROG COMM HLTH PARTN","JOHNS HOPKINS UNIV PRESS","1557-0541","1557-055X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,146","0.9"," 390/443 ",
"Cities & Health","CITIES HEALTH","TAYLOR & FRANCIS LTD","2374-8834","2374-8842","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,137","1.9"," 260/443 ",
"FAMILY & COMMUNITY HEALTH","FAM COMMUNITY HEALTH","LIPPINCOTT WILLIAMS & WILKINS","0160-6379","1550-5057","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,132","1.4"," 341/443 ",
"Osong Public Health and Research Perspectives","OSONG PUBLIC HEALTH","KOREA DISEASE CONTROL & PREVENTION AGENCY","2210-9099","2233-6052","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,114","1.4"," 341/443 ",
"International Journal of Sexual Health","INT J SEX HEALTH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1931-7611","1931-762X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,111","2.2"," 218/443 ",
"Journal of Family and Community Medicine","J FAM COMMUNITY MED","WOLTERS KLUWER MEDKNOW PUBLICATIONS","2230-8229","2229-340X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,105","1.5"," 325/443 ",
"Public Health Research & Practice","PUBLIC HEALTH RES PR","CSIRO PUBLISHING","2204-2091","2204-2091","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,103","2.2"," 218/443 ",
"Annals of Occupational and Environmental Medicine","ANN OCCUP ENVIRON ME","Korean Soc Occupational & Environmental Medicine","2052-4374","2052-4374","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,085","3"," 133/443 ",
"Health & Justice","HEAL JUSTICE","SPRINGERNATURE","N/A","2194-7899","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,083","2.8"," 149/443 ",
"Health Systems & Reform","HEALTH SYST REFORM","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2328-8604","2328-8620","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,042","2.8"," 149/443 ",
"Indian Journal of Occupational and Environmental Medicine","INDIAN J OCCUP ENVIR","WOLTERS KLUWER MEDKNOW PUBLICATIONS","0973-2284","1998-3670","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,039","0.8"," 401/443 ",
"Spatial and Spatio-Temporal Epidemiology","SPAT SPATIO-TEMPORAL","ELSEVIER SCI LTD","1877-5845","1877-5853","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,025","1.5"," 325/443 ",
"Revista Espanola de Salud Publica","REV ESP SALUD PUBLIC","MINISTERIO DE SANIDAD Y CONSUMO","1135-5727","2173-9110","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","1,015","0.8"," 401/443 ",
"Journal of Migration and Health","J MIGRATION HEALTH","ELSEVIER","2666-6235","2666-6235","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","1,012","2.8"," 149/443 ",
"Geospatial Health","GEOSPATIAL HEALTH","UNIV NAPLES FEDERICO II","1827-1987","1970-7096","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","989","1.5"," 325/443 ",
"Parasite Epidemiology and Control","PARASITE EPIDEM CONT","ELSEVIER","2405-6731","2405-6731","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","987","2.4"," 193/443 ",
"Central European Journal of Public Health","CENT EUR J PUBL HEAL","NATL INST PUBLIC HEALTH","1210-7778","1803-1048","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","984","0.9"," 390/443 ",
"HEALTH RISK & SOCIETY","HEALTH RISK SOC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1369-8575","1469-8331","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","983","1.9"," 260/443 ",
"Journal of Safety Science and Resilience","J SAF SCI RESIL","KEAI PUBLISHING LTD","2096-7527","2666-4496","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","976","6.3"," 31/443 ",
"Saude e Sociedade","SAUDE SOC-SAO PAULO","UNIV SAO PAULO, FAC SAUDE PUBLICA","0104-1290","1984-0470","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","964","0.6"," 417/443 ",
"BMJ Public Health","BMJ PUBLIC HEALTH","BMJ PUBLISHING GROUP","N/A","2753-4294","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","948","1.7"," 287/443 ",
"International Journal of Population Data Science (IJPDS)","INT J POPUL DATA SCI","SWANSEA UNIV","N/A","2399-4908","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","944","2.7"," 160/443 ",
"JOURNAL OF ENVIRONMENTAL HEALTH","J ENVIRON HEALTH","NATL ENVIRON HEALTH ASSOC","0022-0892","0022-0892","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","932","1.5"," 325/443 ",
"Revista Peruana de Medicina Experimental y Salud Publica","REV PERU MED EXP SAL","Inst Nacional Salud - Peru","1726-4634","1726-4642","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","930","1.1"," 369/443 ",
"Medicina del Lavoro","MED LAV","MATTIOLI 1885","0025-7818","0025-7818","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","922","2.1"," 231/443 ",
"Health Education","HEALTH EDUC","EMERALD GROUP PUBLISHING LTD","0965-4283","1758-714X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","922","1.4"," 341/443 ",
"Interface-Comunicacao Saude Educacao","INTERFACE-BOTUCATU","UNIV ESTADUAL PAULISTA-UNESP","1414-3283","1807-5762","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","892","0.5"," 421/443 ",
"Health Security","HEALTH SECUR","SAGE PUBLICATIONS INC","2326-5094","2326-5108","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","888","1.3"," 354/443 ",
"International Journal of Workplace Health Management","INT J WORKPLACE HEAL","EMERALD GROUP PUBLISHING LTD","1753-8351","1753-836X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","885","2.4"," 193/443 ",
"Journal of Public Health in Africa","J PUBLIC HEALTH AFR","AOSIS","2038-9922","2038-9930","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","878","1.3"," 354/443 ",
"American Journal of Health Education","AM J HEALTH EDUC","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1932-5037","2168-3751","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","877","1"," 379/443 ",
"International Journal of Mental Health Promotion","INT J MENT HEALTH PR","TECH SCIENCE PRESS","1462-3730","2049-8543","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","874","1.8"," 273/443 ",
"Ethiopian Journal of Health Development","ETHIOP J HEALTH DEV","ADDIS ABABA UNIV, DEPT COMMUNITY HEALTH","1021-6790","1021-6790","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","845","0.9"," 390/443 ",
"REVUE D EPIDEMIOLOGIE ET DE SANTE PUBLIQUE","REV EPIDEMIOL SANTE","MASSON EDITEUR","0398-7620","1773-0627","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","833","2.1"," 231/443 ",
"Journal of Research in Health Sciences","J RES HEALTH SCI","HAMADAN UNIV MEDICAL SCIENCES","2228-7795","2228-7809","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","817","2"," 246/443 ",
"Australian Journal of Emergency Management","AUST J EMERG MANAG","AUSTRALIAN EMERGENCY MANAGEMENT INST","1324-1540","1324-1540","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","813","1.4"," 341/443 ",
"ACS Chemical Health & Safety","ACS CHEM HEALTH SAFE","AMER CHEMICAL SOC","N/A","1878-0504","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","803","3.8"," 87/443 ",
"HLRP-Health Literacy Research and Practice","HLRP-HEALTH LIT RES","SLACK INC","2475-6024","2474-8307","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","802","1.6"," 301/443 ",
"PEC Innovation","PEC INNOV","ELSEVIER","N/A","2772-6282","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","794","2.1"," 231/443 ",
"JOURNAL OF THE EGYPTIAN PUBLIC HEALTH ASSOCIATION","J EGYPT PUBLIC HEAL","SPRINGER","N/A","2090-262X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","790","2.4"," 193/443 ",
"Infection Prevention in Practice","INFECT PREV PRACT","ELSEVIER","2590-0889","2590-0889","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","781","2.6"," 173/443 ",
"Diving and Hyperbaric Medicine","DIVING HYPERB MED","SOUTH PACIFIC UNDERWATER MED SOC","1833-3516","1833-3516","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","775","1.3"," 354/443 ",
"Arts & Health","ARTS HEALTH","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","1753-3015","1753-3023","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","758","1.5"," 325/443 ",
"Wellbeing Space and Society","WELLBEING SPACE SOC","ELSEVIER","2666-5581","2666-5581","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","753","2.9"," 139/443 ",
"Palliative Care & Social Practice","PALLIAT CARE SOC PR","SAGE PUBLICATIONS INC","2632-3524","2632-3524","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","753","2.7"," 160/443 ",
"One Health Outlook","ONE HEALTH OUTLOOK","BMC","2524-4655","2524-4655","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","738","5.9"," 34/443 ",
"Implementation Research and Practice","IMPLEMENT RES PRACT","SAGE PUBLICATIONS INC","2633-4895","2633-4895","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","733","2.2"," 218/443 ",
"Public Health Genomics","PUBLIC HEALTH GENOM","KARGER","1662-4246","1662-8063","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","723","2.2"," 218/443 ",
"Global Health & Medicine","GLOB HLTH MED-JPN","Natl Ctr Global Health and Medicine - NCGM","2434-9186","2434-9194","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","721","2.3"," 209/443 ",
"Canadian Journal of Human Sexuality","CAN J HUM SEX","UNIV TORONTO PRESS INC","1188-4517","2291-7063","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","720","0.8"," 401/443 ",
"Biosafety and Health","BIOSAF HEALTH","ELSEVIER","2096-6962","2590-0536","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","718","2.8"," 149/443 ",
"Journal of Mens Health","J MENS HEALTH","MRE PRESS","1875-6867","1875-6859","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","696","0.7"," 412/443 ",
"Cadernos Brasileiros de Terapia Ocupacional-Brazilian Journal of Occupational Therapy","CAD BRAS TER OCUP","CUBA EDITORA","2526-8910","2526-8910","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","691","0.9"," 390/443 ",
"AJPM Focus","AJPM FOCUS","ELSEVIER","N/A","2773-0654","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","681","2.8"," 149/443 ",
