"Journal Data Filtered By:  Selected Categories: PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH Selected Editions: SCIE;SSCI;AHCI;ESCI Selected JCR Year: 2025 Selected Category Schema: WOS Selected Open Access: N Indicator: Custom"

Journal name,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2025 JIF,JIF Rank
"Infection Control & Hospital Epidemiology","INFECT CONT HOSP EP","CAMBRIDGE UNIV PRESS","0899-823X","1559-6834","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","9,746","2.6"," 173/443 ",
"AMERICAN JOURNAL OF INFECTION CONTROL","AM J INFECT CONTROL","MOSBY-ELSEVIER","0196-6553","1527-3296","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","9,564","2.6"," 173/443 ",
"Reproductive Health","REPROD HEALTH","BMC","N/A","1742-4755","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","9,559","3.4"," 101/443 ",
"Digital Health","DIGIT HEALTH","SAGE PUBLICATIONS LTD","2055-2076","2055-2076","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","9,301","3.9"," 84/443 ",
"Journal of Global Health","J GLOB HEALTH","INT SOC GLOBAL HEALTH","2047-2978","2047-2986","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","9,104","5.5"," 42/443 ",
"Journal of Occupational Health Psychology","J OCCUP HEALTH PSYCH","EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC","1076-8998","1939-1307","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","9,089","6.7"," 26/443 ",
"Lancet Regional Health-Europe","LANCET REG HEALTH-EU","ELSEVIER","2666-7762","2666-7762","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","9,075","15.7"," 8/443 ",
"JOURNAL OF WOMENS HEALTH","J WOMENS HEALTH","SAGE PUBLICATIONS INC","1540-9996","1931-843X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","9,072","1.8"," 273/443 ",
"OCCUPATIONAL AND ENVIRONMENTAL MEDICINE","OCCUP ENVIRON MED","BMJ PUBLISHING GROUP","1351-0711","1470-7926","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","9,046","3.2"," 120/443 ",
"PLOS Global Public Health","PLOS GLOB PUBL HLTH","PUBLIC LIBRARY SCIENCE","N/A","2767-3375","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","ESCI","9,042","2.8"," 149/443 ",
"PALLIATIVE MEDICINE","PALLIATIVE MED","SAGE PUBLICATIONS LTD","0269-2163","1477-030X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","9,020","6.4"," 28/443 ",
"INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH","INT J HYG ENVIR HEAL","ELSEVIER GMBH","1438-4639","1618-131X","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","8,768","4.3"," 66/443 ",
"HEALTH & SOCIAL CARE IN THE COMMUNITY","HEALTH SOC CARE COMM","WILEY","0966-0410","1365-2524","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","8,729","1.8"," 273/443 ",
"TOBACCO CONTROL","TOB CONTROL","BMJ PUBLISHING GROUP","0964-4563","1468-3318","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","8,517","3.3"," 113/443 ",
"ANNALS OF EPIDEMIOLOGY","ANN EPIDEMIOL","ELSEVIER SCIENCE INC","1047-2797","1873-2585","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","8,401","3.6"," 93/443 ",
"JOURNAL OF OCCUPATIONAL AND ENVIRONMENTAL MEDICINE","J OCCUP ENVIRON MED","LIPPINCOTT WILLIAMS & WILKINS","1076-2752","1536-5948","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","8,284","1.4"," 341/443 ",
"Preventive Medicine Reports","PREV MED REP","ELSEVIER","N/A","2211-3355","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE","8,198","2.8"," 149/443 ",
"MATERNAL AND CHILD HEALTH JOURNAL","MATERN CHILD HLTH J","SPRINGER/PLENUM PUBLISHERS","1092-7875","1573-6628","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","8,194","1.9"," 260/443 ",
"Ciencia & Saude Coletiva","CIENC SAUDE COLETIVA","ABRASCO - Brazilian Association of Collective Health","1413-8123","1678-4561","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SSCI","8,116","1.6"," 301/443 ",
"SSM-Population Health","SSM-POPUL HLTH","ELSEVIER SCI LTD","2352-8273","2352-8273","PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH","SCIE, SSCI","8,085","3.7"," 89/443 ",
